# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3
-6.524349016929656964e-01	6.278433648878536943e-02	-1.717227505389046921e-02	7.368179561737465879e-04	-1.617660243873812135e-03	-1.214613351436232567e-03	1.090193019577835772e-02	1.299754836954892800e-01	3.769404128986313107e-02	-1.797191536069388806e-01	-2.380739759315871062e-01	5.864089258116757936e-02	-1.737645615813801655e-04	3.564759667443330015e-04	1.838460891978857406e-03	1.853146199150021434e-02	-1.748103216700683249e-01	-5.798913244625488600e-02	-1.425604789164655519e-03	1.144331681862885116e-03	1.514313423354244833e+03	1.514299155059168243e+03	1.327766780008402975e+03	1.343921846814818764e+03	1.348512313189944734e+03
-2.665776832828142188e-04	-3.730386114980751081e-03	-3.960686502332824363e-04	4.784762003804835591e-04	-1.032703637516690053e-02	1.136716841866496265e-04	-3.486379639708644951e-03	-2.412024893300733540e-04	-8.887334330928033932e-01	3.426392749624467969e-04	-1.636705017443911697e-02	-1.982409660018509925e-04	-8.964668006309217544e-04	-9.117617741305953857e-03	1.036784340584753799e-04	2.777575982446544699e-03	1.944978616032225433e-04	-1.115527088616053319e+00	1.479071596246395691e-02	-1.769137893164696509e-02	1.894345731196225188e+03	1.894464063427025394e+03	3.504357658920521317e+02	3.504860625095179216e+02	5.775092063502454494e+02
6.433572891411277750e-01	2.257949767326491606e-04	7.987160207441557297e-04	2.910578744820107450e-02	7.464559616040221899e-06	2.645193927726815727e-04	-1.260989860877711338e-02	-4.340729678820038143e-03	-5.034157243987518300e-05	5.640702573256874963e-01	-1.564686641556748401e-04	-9.354319678408872093e-04	8.125577033389166925e-02	-6.937382355283911368e-06	4.653941795370208668e-05	1.846652432331446006e-02	-6.032388293789043947e-03	9.065773715016759023e-05	-4.210512328699916873e-02	3.101173122048106901e-03	1.046109502848141119e+03	1.045499304342451751e+03	3.103539812592931071e+02	4.711734683354106892e+02	4.711851414230007435e+02
-1.538436792007904889e-02	2.307969838542796304e-02	3.764420044546333555e-02	2.023969098598415051e-03	1.332537309112695641e-02	-6.777941353035144521e-03	-5.777465961608833217e-03	-6.182114710050749112e-02	-6.504367102595129402e-02	1.611202806372444892e-03	-6.839452671202404625e-03	1.096373843783697427e-01	-5.318298654225849876e-04	2.983477301213080177e-02	9.722626730105852350e-03	-1.515453644999014261e-04	1.442720700856508706e-02	-3.008056380504861016e-01	-1.593037303693575985e-03	1.046656184506711551e-01	1.336572770459341882e+03	1.336554706084601321e+03	1.221121404346751888e+03	1.222665950061511239e+03	1.252016357807393206e+03
1.904491924268095562e-03	-7.013468593777455505e-04	-1.870512863873175502e-01	1.063160371040597178e-03	1.351853205079063893e-04	2.099863431892743521e-02	-3.286097208590596161e-04	-4.238275041692425235e-03	-9.488298185948524852e-04	-4.061454616455852117e-04	1.548841152366887248e-04	-9.346919221341181139e-01	1.229934111818571565e-03	-1.230591001731686581e-04	-3.748261497566482414e-02	-2.281054803110854116e-05	-5.921576980299050929e-04	-3.560560665994961377e-03	3.228085202176952939e-01	8.291316810686719108e-03	6.404319726818631580e+02	6.480263343777088494e+02	4.880617955838540070e+02	4.880623002357041287e+02	5.253593351705122814e+02
1.767464896126701157e-02	2.393598037459840899e-01	2.724319483994417247e-03	1.264654663231191273e-02	-2.857855410672714702e-02	5.807418734581032416e-01	-3.249260109820398777e-03	3.208335466362518141e-03	1.128666513218826118e-03	-4.418570978847466413e-02	8.225942780278411304e-02	7.727433594286433997e-03	-1.052557510610387624e-02	2.283904774384383149e-02	6.696054288850030733e-01	-8.650550013650468465e-04	-1.887688483434950271e-02	-6.486615374437122846e-04	-2.472105501900040241e-03	-1.222592068428889484e-01	1.350937477514759621e+03	1.350909742853122907e+03	4.033716580296710390e+02	4.100069553415937662e+02	4.855708798659973695e+02
2.539663741595447107e-03	1.111050837668147405e-02	-1.081990062202878855e-01	8.108141844304757805e-05	7.324998521636909114e-04	-2.257304772147471564e-02	-5.214942301815562748e-04	9.275596006570693830e-02	-2.122821303321356101e-01	2.394725468027697219e-03	9.514338976796102992e-03	1.256979471079405497e-01	2.483935014952383741e-05	2.168513135825769420e-03	9.420944654405620511e-03	-1.372895533744419925e-04	1.997780355977181801e-02	9.857315467241389850e-01	1.949462034143373138e-03	1.597691884879381269e-02	1.875319892659145125e+03	1.875335647871441324e+03	6.214084253658039643e+02	6.217866244544853771e+02	6.643153197106248626e+02
-1.403506290751837899e-05	-4.909378944180955474e-03	-2.758153454711726460e-01	3.933238562231616657e-03	4.126440349974024930e-05	3.859940978799572715e-03	-1.853741471452975852e-05	9.098244714770872821e-03	5.036788082023121449e-01	4.306848101763098140e-05	8.995271321668493053e-03	-1.622272583461105977e-01	-2.953093622674274506e-03	-3.080415740303105090e-05	5.418253953228251152e-03	4.004177026041529704e-05	-1.350910508209200202e-02	3.314349282072019953e-01	-4.740998051200953634e-01	-8.312771490057508511e-03	1.500669590276633244e+03	1.495873737159338589e+03	1.757033990118050895e+02	1.757040859627475413e+02	1.766282430777224874e+02
5.545792370626604836e-03	-2.866617323251488200e-02	1.295365091694755146e-02	7.281035544460126661e-04	2.168789894252676209e-01	-3.654013082649557598e-01	3.430426845249502860e-04	9.886808213928512242e-05	-3.337040665245871512e-04	-2.189391877801605442e-03	2.955643869696286327e-02	1.228175662939343278e-02	4.284763757452506776e-04	1.534839795587026878e-01	5.163809831748098489e-01	-2.219685800565500606e-04	9.580962399126641672e-05	1.859105745808424732e-04	2.128955524484103107e-02	-1.469244972154353998e-02	1.463842219291909942e+03	1.464062626751328480e+03	1.093359688131364464e+03	1.108591391443726025e+03	1.177779069152742977e+03
5.081742482976352908e-05	1.114009669336064705e-02	-1.741491368998602726e-02	-1.577564669271638701e-04	-2.662863893529407444e-01	3.411843139478315523e-02	3.045741250797501069e-03	-1.418381927007108211e-02	2.429861983298512232e-02	-6.738399335247116314e-05	-8.533703181970875989e-03	-3.344100815044696862e-02	-7.303154253525960982e-05	8.638025185193699482e-03	1.041355509354772613e+00	1.096721414522725056e-04	6.214392638877940141e-03	5.524179543822007460e-02	1.728974327849839600e-03	3.179051592976812196e-02	1.340929591400645450e+03	1.340949133268315336e+03	1.715184818735816634e+02	1.732981835964760648e+02	1.986995623217520688e+02
