# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
-3.804424915759485049e-01	5.574832862219650798e-01	1.771842168632377215e-06	3.581461698591354337e-04	-5.747628127069087119e-05	5.913509327048373362e-04	4.323087148795795032e-01	-1.186492751939267343e-01	6.533124034499264844e-07	1.625380971503676442e+00	1.305951400383764949e-01	1.791245017256028446e-06	-1.368223665209324048e-04	-8.041348945058978965e-05	-2.489657010277255330e-03	-3.461835992505731263e-01	-1.476574863935581905e-01	8.874582702452672039e-06	-3.334442378413762786e-02	-7.801095711059786719e-01	1.594203174915229738e+03	1.593886138319732027e+03	8.724031488904806793e+02	8.996651740292047634e+02	9.032977981100258376e+02	-1.105672253073496959e-02
1.498118212443856789e+00	-1.871298274601206416e-02	-5.020559674747812270e-03	4.769448812228195209e-03	1.381652728198958522e-03	-3.856311524577236693e-01	-9.906368608859718317e-02	1.279386086261036892e+00	4.315493053410049060e-03	-3.586197946310541451e-01	-1.778603137389795086e-01	-3.899060319259276680e-02	1.018290858751258639e-02	-5.921017483253247088e-03	-1.272036243712072190e-01	-1.437722884931989520e-01	-6.332544130885346956e-01	2.016626906528916352e-02	2.312574846939283862e-02	-2.320646654242256371e-02	2.053526557051881355e+03	2.053697229763844916e+03	5.555394232899712961e+02	5.602242479770186492e+02	5.869392598855650931e+02	-2.382286319836244420e-02
1.936768165031661076e-02	-7.623230770394616718e-01	3.321310255809731531e-03	1.511030125987459409e-03	2.510504463856947418e-03	-2.320083674235748905e-01	2.799942894943922497e-03	1.272430882269818056e-02	-1.818309365573500015e-03	3.142718618965684163e-02	4.673233746560468971e-01	1.766953317242310039e-03	1.645423137537457467e-04	1.528849443627043831e-03	1.562967274348262547e+00	3.235370818395930884e-03	1.177596648173022745e-02	-6.604469281161384070e-03	-6.933876682037362627e-03	1.941149735828731904e-01	1.001175767665042486e+03	1.001070795243691236e+03	5.857836595981988239e+02	5.905032931275110286e+02	6.005337277344182212e+02	1.009084398679991820e-02
-1.077489026814732465e-01	1.314829553034670313e-02	7.812804330894243879e-03	3.594439660018417526e-01	-3.913944002998852034e-01	2.530769767513556603e-03	-4.523989376750193504e-04	-2.731642509588810656e-04	2.814759846107535175e-03	-2.982458201086514715e-01	9.924959632560728662e-02	7.838643709293201603e-03	-1.874460867658096275e+00	-9.160071949847059525e-02	-1.211041273094688731e-03	-9.261385654618537345e-04	2.597306948947318800e-04	-1.314934653440813853e-03	-1.116454026166331919e-03	2.118624238619236291e-03	1.332918677912732846e+03	1.332905983111034629e+03	5.526135298886787268e+02	5.858350876520797783e+02	5.874299012445233075e+02	-1.583363269575340307e-02
-6.668226764790776036e-03	-5.593626036479299596e-03	1.258549139642458263e-05	-1.576230478499908605e+00	2.448930782708381715e-01	2.838319556576250022e-05	3.582274804483201501e-04	4.891961724155125413e-04	-2.220701298458392647e-02	-1.882364139838238123e-02	4.654594072193511656e-04	-3.507555806301428954e-05	1.155216096206074461e+00	3.341185857622310240e-01	4.781199628172503327e-05	1.168322713378492251e-04	4.490251322291236784e-04	-2.666980825832443447e-02	-1.694002201161258769e-01	-1.116701326708161024e-02	1.471635260952727094e+03	1.469889607208558118e+03	7.304305110969830821e+02	1.165129629222977428e+03	1.185440059505470572e+03	-1.005141583680794204e-01
3.944300043169563820e-03	-2.196303451650390703e-01	-7.695064927024295701e-05	-1.084599803117398779e-02	-1.254959828042808423e-01	3.685782225657601406e-04	-1.105825339461509633e-03	-9.233677550057391864e-05	9.141007915936989470e-01	-5.814116648229139886e-03	-7.877979422746785032e-02	-8.727117944261330044e-05	-2.692104579311626732e-03	3.540820235177399855e-01	-7.143704891099491086e-05	-1.378536402906433561e-03	-1.796201795719569319e-04	-7.358798870519589475e-01	-5.034892119631415586e-01	-4.322362232979107821e-01	1.278465677776386883e+03	1.272482868904750831e+03	1.254198063476267862e+03	1.257007114335767255e+03	1.273993599636313093e+03	1.146284995481572540e-02
8.436446170620567260e-07	-3.401040214257315675e-02	-8.242418182064604748e-01	-2.062470403475307151e-04	6.061274285240375088e-05	-2.440259221766491200e-03	1.777296184138668397e-05	4.080800622321298539e-03	1.605509607656233420e-02	-3.897677930187715902e-07	5.363917616640938996e-02	-5.226591474322208608e-01	-8.226249742270020390e-05	1.623072154128679526e-04	1.265648633568585259e-03	-2.983652954724665626e-06	-9.802076645478322112e-04	6.464423537802727049e-02	3.197789400675543018e-03	-2.078807875086242235e-02	7.575877893668089200e+02	7.576517606731491696e+02	7.385720320270226011e+02	7.388214594829239559e+02	7.974890008815319788e+02	8.335651422188868065e-02
-9.632149363967624708e-03	2.170977828766937692e-02	-7.120183253042626330e-03	-1.232929047885937157e+00	5.320226124640492493e-01	-4.333527040488394100e-03	1.066384520426255866e+00	7.169032312039353982e-01	-5.617288412388060995e-03	-5.238240941833131577e-04	1.243348308419963272e-01	9.677341550038909279e-02	1.638256185963932188e-02	-7.676399924137696784e-01	2.099892157962464628e-03	1.203167404966610371e-01	-7.953857783746659527e-01	4.944997713652289628e-03	-3.776648716614226797e-03	-7.326664750377256952e-03	2.142911173193764625e+03	2.142884462092668855e+03	6.359760051766918423e+02	6.403324681714661892e+02	6.541775726704140652e+02	-1.044861708127322805e-02
-2.664661722949083211e-01	-4.715328919027896026e-02	3.799256415539992146e-06	1.161254521945726120e-01	-3.394431810357631529e-02	5.754393718129122543e-07	-1.145669378422392803e+00	3.550614393122303314e-01	5.840529932030418409e-07	-1.190762257455257184e-01	1.048243582934006574e-01	-1.062085193546348463e-06	-8.537876472368149949e-02	-4.614490407645335801e-02	2.482437457033485049e-04	8.934087067372732394e-01	4.552254217611985676e-01	2.538922765960003773e-05	-2.297458891209077161e-02	-2.040446551871143155e-01	9.898479890546609568e+02	9.894961507674081531e+02	6.115878306883014375e+02	6.814827660958818569e+02	6.945786127047649643e+02	-5.390169577037107890e-02
3.484732383142498391e-02	1.283056877008354260e-03	1.120724011840750281e-02	-9.875758324228353364e-05	1.435966048188770661e-02	-1.893149052560621007e-03	1.539217485995655776e+00	4.185844030936636479e-04	-9.744948539325361302e-04	1.232522292365218347e-01	-4.339256117496804489e-03	9.130375019090811867e-03	-2.232523310180069330e-04	-2.288025783433358593e-02	-2.308285748792056769e-03	-3.795088858580037416e-01	4.159862727835734780e-04	4.380444032810031920e-05	-9.620422692255944930e-02	1.933354556064025287e-01	1.005974760055759816e+03	1.004524296107424902e+03	7.334091237921014681e+02	1.004812538791916268e+03	1.004869601844845988e+03	-1.067993293787581344e-01
